Recording Name, Date Started, User
Recording Set,2024-2-7 12-51-51,KJLC

Time Stamp,PC Capman Pressure,PC Source 2 Freq,PC Source 4 Freq,PC Source 6 Freq,Power Supply 1 Power,Power Supply 1 Voltage,Power Supply 3 Power,Power Supply 3 Voltage,Power Supply 5 DC Bias,Power Supply 5 Fwd Power,PC High Vac Valve Position,PC MFC 1 Flow
Feb-07-2024 12:51:51.836 PM,9.9977111467,5982858.009607289,5986662.4864163268,5982897.6826899732,49.7248322921,218.0555419922,0.0002521835,0.1838807315,0,0,36,33.9954528115
Feb-07-2024 12:51:51.942 PM,9.9992370489,5982857.9722144203,5986662.496665624,5982897.7104691034,49.7248322921,218.0555419922,0.0002521835,0.1838807315,0,0,36,33.9784847791
Feb-07-2024 12:51:52.051 PM,9.9992370489,5982857.9722144203,5986662.496665624,5982897.7104691034,49.7248322921,218.0555419922,0.0002521835,0.1838807315,0,0,36,33.9784847791
Feb-07-2024 12:51:52.163 PM,9.9992370489,5982857.9722144203,5986662.496665624,5982897.7104691034,49.7248322921,218.0555419922,0.0002521835,0.1838807315,0,0,36,33.9784847791
Feb-07-2024 12:51:52.271 PM,9.9992370489,5982857.9722144203,5986662.496665624,5982897.7104691034,49.7248322921,218.0555419922,0.0002521835,0.1838807315,0,0,36,33.9784847791
Feb-07-2024 12:51:52.372 PM,9.9977111467,5982857.9722144203,5986662.496665624,5982897.7104691034,47.3233929848,216.9828796387,0.0003782752,0.2758210897,0,0,36,33.9869687953
Feb-07-2024 12:51:52.473 PM,9.9977111467,5982857.9722144203,5986662.496665624,5982897.7104691034,47.3233929848,216.9828796387,0.0003782752,0.2758210897,0,0,36,33.9869687953
Feb-07-2024 12:51:52.574 PM,10.0007629511,5982857.9722144203,5986662.496665624,5982897.7104691034,47.3233929848,216.9828796387,0.0003782752,0.2758210897,0,0,36,33.974242771
Feb-07-2024 12:51:52.681 PM,10.0007629511,5982857.9722144203,5986662.496665624,5982897.7104691034,47.3233929848,216.9828796387,0.0003782752,0.2758210897,0,0,36,33.974242771
Feb-07-2024 12:51:52.796 PM,10.0007629511,5982857.9722144203,5986662.496665624,5982897.7104691034,47.3233929848,216.9828796387,0.0003782752,0.2758210897,0,0,36,34.0251468681
Feb-07-2024 12:51:52.897 PM,10.0007629511,5982857.9722144203,5986662.496665624,5982897.7104691034,47.3233929848,216.9828796387,0.0003782752,0.2758210897,0,0,36,34.0251468681
Feb-07-2024 12:51:53.004 PM,9.9977111467,5982857.9818217065,5986662.0289575364,5982898.1121793399,44.5367142914,216.7989959717,0.0003782752,0.2758210897,0,0,36,33.9530327306
