Recording Name, Date Started, User
Recording Set,2024-1-29 10-40-18,KJLC

Time Stamp,PC Capman Pressure,PC Source 2 Freq,PC Source 2 Q,PC Source 2 Rate,PC Source 4 Freq,PC Source 4 Q,PC Source 4 Rate,PC Source 6 Freq,PC Source 6 Q,PC Source 6 Rate,Power Supply 1 Power,Power Supply 1 Voltage,Power Supply 3 Power,Power Supply 3 Voltage,Power Supply 5 DC Bias,Power Supply 5 Fwd Power,PC High Vac Valve Position,PC MFC 1 Flow
Jan-29-2024 10:40:18.569 AM,8.0003051804,5983068.1592194559,96.6136318439,6.8300630442E-5,5986803.9354381152,97.3607870876,2.7702955599E-5,5982949.5982949594,96.589919659,-5.4113493907E-5,4.8258570407,227.1577911377,9.0090444484,282.1036682129,64,35,36,26.538002594
Jan-29-2024 10:40:18.678 AM,8.0003051804,5983068.1592194559,96.6136318439,6.8300630442E-5,5986803.9354381152,97.3607870876,2.7702955599E-5,5982949.5982949594,96.589919659,-5.4113493907E-5,4.8258570407,227.1577911377,9.0090444484,282.1036682129,64,35,36,26.538002594
Jan-29-2024 10:40:18.784 AM,7.9972533761,5983068.1592194559,96.6136318439,6.8300630442E-5,5986803.9354381152,97.3607870876,2.7702955599E-5,5982949.5982949594,96.589919659,-5.4113493907E-5,4.8258570407,227.1577911377,9.0090444484,282.1036682129,64,35,36,26.5889066911
Jan-29-2024 10:40:18.885 AM,7.9682612345,5983068.1592194559,96.6136318439,5.3192584473E-5,5986804.3741752729,97.3608748351,-0.0004164973,5982949.6079177074,96.5899215835,-5.176413135E-5,4.7809375036,227.1271362305,9.3234162811,281.5827026367,64,35,36,6.32059205
Jan-29-2024 10:40:18.992 AM,7.9682612345,5983068.1592194559,96.6136318439,5.3192584473E-5,5986804.3741752729,97.3608748351,-0.0004164973,5982949.6079177074,96.5899215835,-5.176413135E-5,4.7809375036,227.1271362305,9.3234162811,281.5827026367,64,35,36,6.32059205
Jan-29-2024 10:40:19.102 AM,7.9682612345,5983068.1592194559,96.6136318439,5.3192584473E-5,5986804.3741752729,97.3608748351,-0.0004164973,5982949.6079177074,96.5899215835,-5.176413135E-5,4.7809375036,227.1271362305,9.3234162811,281.5827026367,64,35,36,6.32059205
Jan-29-2024 10:40:19.210 AM,7.9682612345,5983068.1592194559,96.6136318439,5.3192584473E-5,5986804.3741752729,97.3608748351,-0.0004164973,5982949.6079177074,96.5899215835,-5.176413135E-5,4.7809375036,227.1271362305,9.3234162811,281.5827026367,64,35,36,6.32059205
Jan-29-2024 10:40:19.311 AM,7.4784466316,5983068.1592194559,96.6136318439,5.3192584473E-5,5986804.3741752729,97.3608748351,-0.0004164973,5982949.6079177074,96.5899215835,-5.176413135E-5,4.7809375036,227.1271362305,9.3234162811,281.5827026367,64,35,36,0.6532692454
Jan-29-2024 10:40:19.426 AM,7.4784466316,5983068.1592194559,96.6136318439,5.3192584473E-5,5986804.3741752729,97.3608748351,-0.0004164973,5982949.6079177074,96.5899215835,-5.176413135E-5,4.7809375036,227.1271362305,9.3234162811,281.5827026367,64,35,36,0.6532692454
Jan-29-2024 10:40:19.535 AM,7.4784466316,5983068.1592194559,96.6136318439,5.3192584473E-5,5986804.3741752729,97.3608748351,-0.0004164973,5982949.6079177074,96.5899215835,-5.176413135E-5,4.7809375036,227.1271362305,9.3234162811,281.5827026367,64,35,36,0.6532692454
Jan-29-2024 10:40:19.646 AM,6.9123369192,5983068.1592194559,96.6136318439,5.3192584473E-5,5986804.3741752729,97.3608748351,-0.0004164973,5982949.6079177074,96.5899215835,-5.176413135E-5,4.7809375036,227.1271362305,9.3234162811,281.5827026367,64,35,36,0.3817807279
Jan-29-2024 10:40:19.758 AM,6.2623025864,5983068.1592194559,96.6136318439,5.3192584473E-5,5986804.3741752729,97.3608748351,-0.0004164973,5982949.6079177074,96.5899215835,-5.176413135E-5,5.1609459694,232.275894165,9.4386941891,288.4782104492,65,35,36,0.3096665904
Jan-29-2024 10:40:19.866 AM,6.2623025864,5983068.1592194559,96.6136318439,5.3192584473E-5,5986804.3741752729,97.3608748351,-0.0004164973,5982949.6079177074,96.5899215835,-5.176413135E-5,5.1609459694,232.275894165,9.4386941891,288.4782104492,65,35,36,0.3096665904
Jan-29-2024 10:40:19.967 AM,6.2623025864,5983068.1592194559,96.6136318439,5.3192584473E-5,5986804.3741752729,97.3608748351,-0.0004164973,5982949.6079177074,96.5899215835,-5.176413135E-5,5.1609459694,232.275894165,9.4386941891,288.4782104492,65,35,36,0.3096665904
Jan-29-2024 10:40:20.067 AM,6.2623025864,5983068.1592194559,96.6136318439,5.3192584473E-5,5986804.3741752729,97.3608748351,-0.0004164973,5982949.6079177074,96.5899215835,-5.176413135E-5,5.1609459694,232.275894165,9.4386941891,288.4782104492,65,35,36,0.3096665904
Jan-29-2024 10:40:20.177 AM,5.7328145266,5983068.1592194559,96.6136318439,4.1426426441E-5,5986803.8980205841,97.3607796041,0.0001510648,5982949.5982949594,96.589919659,-3.069344611E-5,5.1609459694,232.275894165,9.4386941891,288.4782104492,65,35,36,0.2587624933
Jan-29-2024 10:40:20.277 AM,5.7328145266,5983068.1592194559,96.6136318439,4.1426426441E-5,5986803.8980205841,97.3607796041,0.0001510648,5982949.5982949594,96.589919659,-3.069344611E-5,5.1609459694,232.275894165,9.4386941891,288.4782104492,65,35,36,0.2587624933
Jan-29-2024 10:40:20.388 AM,5.1804379339,5983068.1592194559,96.6136318439,4.1426426441E-5,5986803.8980205841,97.3607796041,0.0001510648,5982949.5982949594,96.589919659,-3.069344611E-5,3.3243905799,266.5089111328,9.1813518027,300.399810791,66,35,36,0.4242008087
Jan-29-2024 10:40:20.488 AM,4.7364003967,5983068.1592194559,96.6136318439,4.1426426441E-5,5986803.8980205841,97.3607796041,0.0001510648,5982949.5982949594,96.589919659,-3.069344611E-5,3.3243905799,266.5089111328,9.1813518027,300.399810791,66,35,36,0.8526436255
Jan-29-2024 10:40:20.597 AM,4.7364003967,5983068.1592194559,96.6136318439,4.1426426441E-5,5986803.8980205841,97.3607796041,0.0001510648,5982949.5982949594,96.589919659,-3.069344611E-5,3.3243905799,266.5089111328,9.1813518027,300.399810791,66,35,36,0.8526436255
Jan-29-2024 10:40:20.698 AM,4.2847333486,5983068.1592194559,96.6136318439,4.1426426441E-5,5986803.8980205841,97.3607796041,0.0001510648,5982949.5982949594,96.589919659,-3.069344611E-5,3.3243905799,266.5089111328,9.1813518027,300.399810791,66,35,36,4.1826199741
Jan-29-2024 10:40:20.807 AM,4.2847333486,5983068.1592194559,96.6136318439,4.1426426441E-5,5986803.8980205841,97.3607796041,0.0001510648,5982949.5982949594,96.589919659,-3.069344611E-5,3.3243905799,266.5089111328,9.1813518027,300.399810791,66,35,36,4.1826199741
Jan-29-2024 10:40:20.920 AM,3.9627679866,5983068.1218252722,96.6136243651,6.9646906424E-5,5986803.8231855258,97.3607646371,0.000192371,5982949.533130818,96.5899066262,4.1244838515E-5,5.2264964411,297.9530639648,9.3073480831,312.535949707,68,35,36,11.3516136416
Jan-29-2024 10:40:21.020 AM,3.9627679866,5983068.1218252722,96.6136243651,6.9646906424E-5,5986803.8231855258,97.3607646371,0.000192371,5982949.533130818,96.5899066262,4.1244838515E-5,5.2264964411,297.9530639648,9.3073480831,312.535949707,68,35,36,11.3516136416
Jan-29-2024 10:40:21.131 AM,3.9627679866,5983068.1218252722,96.6136243651,6.9646906424E-5,5986803.8231855258,97.3607646371,0.000192371,5982949.533130818,96.5899066262,4.1244838515E-5,5.2264964411,297.9530639648,9.3073480831,312.535949707,68,35,36,11.3516136416
Jan-29-2024 10:40:21.238 AM,3.9627679866,5983068.1218252722,96.6136243651,6.9646906424E-5,5986803.8231855258,97.3607646371,0.000192371,5982949.533130818,96.5899066262,4.1244838515E-5,5.2264964411,297.9530639648,9.3073480831,312.535949707,68,35,36,11.3516136416
Jan-29-2024 10:40:21.350 AM,3.8147554742,5983068.1218252722,96.6136243651,6.9646906424E-5,5986803.8231855258,97.3607646371,0.000192371,5982949.533130818,96.5899066262,4.1244838515E-5,5.2264964411,297.9530639648,9.3073480831,312.535949707,68,35,36,15.3900053407
Jan-29-2024 10:40:21.460 AM,3.8147554742,5983068.1218252722,96.6136243651,6.9646906424E-5,5986803.8231855258,97.3607646371,0.000192371,5982949.533130818,96.5899066262,4.1244838515E-5,5.2264964411,297.9530639648,9.3073480831,312.535949707,68,35,36,15.3900053407
Jan-29-2024 10:40:21.572 AM,3.8864728771,5983068.1218252722,96.6136243651,6.9646906424E-5,5986803.8231855258,97.3607646371,0.000192371,5982949.533130818,96.5899066262,4.1244838515E-5,2.3071778003,236.7503967285,9.3734439725,323.2623291016,69,35,36,17.2564888991
Jan-29-2024 10:40:21.680 AM,4.0375371939,5983068.1218252722,96.6136243651,6.9646906424E-5,5986803.8231855258,97.3607646371,0.000192371,5982949.533130818,96.5899066262,4.1244838515E-5,2.3071778003,236.7503967285,9.3734439725,323.2623291016,69,35,36,16.4038452735
Jan-29-2024 10:40:21.787 AM,4.0375371939,5983068.1218252722,96.6136243651,6.9646906424E-5,5986803.8231855258,97.3607646371,0.000192371,5982949.533130818,96.5899066262,4.1244838515E-5,2.3071778003,236.7503967285,9.3734439725,323.2623291016,69,35,36,16.4038452735
Jan-29-2024 10:40:21.895 AM,4.1565575647,5983067.560912584,96.6135121825,0.0006150007,5986803.7483504685,97.3607496701,0.0002245404,5982949.4209504873,96.5898841901,0.0001442756,2.3071778003,236.7503967285,9.3734439725,323.2623291016,69,35,36,14.3719233997
